Тип субјекта,Матични број,Пословно име,Статус,Детаљније
Друштво са ограниченом одговорношћу,17571427,"PRIVREDNO DRUŠTVO ZA TRGOVINU I USLUGE BLUE MARKET DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU, BEOGRAD (ZEMUN) - U STEČAJU",Привредно друштво обрисано из регистра,детаљније
Друштво са ограниченом одговорношћу,20002409,"POSH DOO BEOGRAD, STOJANA MATIĆA 48",Привредно друштво обрисано из регистра,детаљније
Друштво са ограниченом одговорношћу,17322133,NOVA PROM DOO PRIVREDNO DRUŠTVO ZA TRGOVINU I USLUGE BEOGRAD (NOVI BEOGRAD),Активно привредно друштво,детаљније
Друштво са ограниченом одговорношћу,17246569,"STENT D.O.O. PREDUZEĆE ZA TRGOVINU, USLUGE I PROIZVODNJU, BEOGRAD (ČUKARICA)",Активно привредно друштво,детаљније
Друштво са ограниченом одговорношћу,20001194,INSOMNIE DOO BEOGRAD (PALILULA) - U LIKVIDACIJI,Привредно друштво у процесу ликвидације,детаљније
Друштво са ограниченом одговорношћу,6033911,"TERRA-ING PREDUZEĆE ZA INŽENJERING, PROIZVODNJU I TRGOVINU, D.O.O. BEOGRAD, MAJKE JEVROSIME 34",Привредно друштво обрисано из регистра,детаљније
Друштво са ограниченом одговорношћу,20000988,"ALTER INVEST DOO, BEOGRAD (VRAČAR)",Активно привредно друштво,детаљније
Друштво са ограниченом одговорношћу,20001160,"PREDUZEĆE ZA PROIZVODNJU I PROMET TIM PLUS D.O.O. BEOGRAD, RADE KONČARA 20",Привредно друштво обрисано из регистра,детаљније
Друштво са ограниченом одговорношћу,20003987,DRUŠTVO ZA INŽENJERING TRGOVINU I USLUGE  011 ARS  D.O.O. BEOGRAD (VOŽDOVAC) - U LIKVIDACIJI,Привредно друштво у процесу ликвидације,детаљније
Друштво са ограниченом одговорношћу,20001119,"D&M STUDIO DOO BEOGRAD, KNEZ MIHAILOVA BR.33",Привредно друштво обрисано из регистра,детаљније
Друштво са ограниченом одговорношћу,7027052,JUGOPOT DOO BEOGRAD,Активно привредно друштво,детаљније
Друштво са ограниченом одговорношћу,6042589,"PREDUZEĆE ZA TRGOVINU, PROIZVODNJU I USLUGE STAR KOM DOO BEOGRAD, BULEVAR JNA 164 - U LIKVIDACIJI",Привредно друштво обрисано из регистра,детаљније
Друштво са ограниченом одговорношћу,20001348,PREDUZEĆE ZA TRGOVINU I PROIZVODNJU ALUFIX DOO BEOGRAD (RAKOVICA),Активно привредно друштво,детаљније
Друштво са ограниченом одговорношћу,7801050,TP KORANA DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA UNUTRAŠNJU I SPOLJNU TRGOVINU  BEOGRAD (VOŽDOVAC)- U STEČAJU,Привредно друштво обрисано из регистра,детаљније
Друштво са ограниченом одговорношћу,17455052,WELLNESS COMPANY  DOO  BEOGRAD - U LIKVIDACIJI,Привредно друштво у процесу ликвидације,детаљније
Друштво са ограниченом одговорношћу,17251228,PREDUZEĆE ZA VELETRGOVINU MAKRO METAL MARKET DOO BEOGRAD,Активно привредно друштво,детаљније
Друштво са ограниченом одговорношћу,17158996,"SECURITY SYSTEM NOVAKOVIĆ DOO PREDUZEĆE ZA PROIZVODNJU, INŽENJERING I TRGOVINU SIGURNOSNIM SISTEMIMA I OPREMOM BEOGRAD (NOVI BEOGRAD)",Активно привредно друштво,детаљније
Јавно предузеће,7049455,"JAVNO KOMUNALNO PREDUZEĆE  POGREBNE USLUGE JAVNO PREDUZEĆE, BEOGRAD (ZVEZDARA)",Активно привредно друштво,детаљније
Друштво са ограниченом одговорношћу,17321099,"ELIMONT PREDUZEĆE ZA ELEKTRO INŽENJERING, USLUGE I PROMET D.O.O. BEOGRAD (NOVI BEOGRAD) - U STEČAJU",Привредно друштво обрисано из регистра,детаљније
Друштво са ограниченом одговорношћу,20001747,"ORGANIC NK DOO BEOGRAD DRUŠTVO ZA TRGOVINU,MARKETING,KONSALTING,MENADZMENT,MILEŠEVSKA 2 - U LIKVIDACIJI",Привредно друштво обрисано из регистра,детаљније
Друштво са ограниченом одговорношћу,7526610,"PREDUZEĆE ZA PROIZVODNJU, PROJEKTOVANJE, INŽENJERING, TRGOVINU I USLUGE LUNATRONIK DOO, BEOGRAD (ČUKARICA)",Активно привредно друштво,детаљније
Друштво са ограниченом одговорношћу,7900945,MBB EXICO PRIVREDNO DRUŠTVO ZA PROIZVODNJU I TRGOVINU  DOO BEOGRAD (NOVI BEOGRAD),Активно привредно друштво,детаљније
Друштво са ограниченом одговорношћу,7726155,INTER-IMPEX INTERNATIONAL DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA UNUTRAŠNJU I SPOLJNU TRGOVINU BEOGRAD (SAVSKI VENAC),Активно привредно друштво,детаљније
Друштво са ограниченом одговорношћу,20001364,"DRUŠTVO ZA TRGOVINU I USLUGE ASZM DOO BEOGRAD, TRG NIKOLE PAŠIĆA 5",Привредно друштво обрисано из регистра,детаљније
Друштво са ограниченом одговорношћу,20001437,"PREDUZEĆE ZA SPOLJNU I UNUTRAŠNJU TRGOVINU I PRUŽANJE USLUGA EMIKA DOO, BEOGRAD (NOVI BEOGRAD)",Активно привредно друштво,детаљније
Друштво са ограниченом одговорношћу,20001470,SKY CENTRAL LINE DOO  BEOGRAD (NOVI BEOGRAD),Активно привредно друштво,детаљније
Друштво са ограниченом одговорношћу,17072927,DUNAV MG TRAVEL PRIVREDNO DRUŠTVO ZA TURIZAM TRGOVINU I USLUGE DOO BEOGRAD (VRAČAR),Активно привредно друштво,детаљније
Друштво са ограниченом одговорношћу,17457250,"PREDUZEĆE ZA SPOLJNU I UNUTRAČNJU TRGOVINU BOAI D.O.O. BEOGRAD, VINOGRADSKA 194",Привредно друштво обрисано из регистра,детаљније
Друштво са ограниченом одговорношћу,17202723,PREDUZEĆE ZA UNUTRAŠNJU I SPOLJNU TRGOVINU HYLA DOO BEOGRAD (ČUKARICA)- U STEČAJU,Привредно друштво у стечајном поступку,детаљније
Друштво са ограниченом одговорношћу,20003855,"GOLD MAGIC DOO BEOGRAD, MILOŠA RADOJČIĆA 6",Привредно друштво обрисано из регистра,детаљније
Друштво са ограниченом одговорношћу,8831670,BEOAUTO  D.O.O. BEOGRAD,Активно привредно друштво,детаљније
Друштво са ограниченом одговорношћу,20001631,"ZMC ELEKTRONIKA DOO BEOGRAD, BULEVAR AVNOJ-A 115/ III/8",Привредно друштво обрисано из регистра,детаљније
Друштво са ограниченом одговорношћу,20001526,"FERMICO ŠPED DOO, BEOGRAD - ZEMUN",Активно привредно друштво,детаљније
Друштво са ограниченом одговорношћу,17085646,"PRED. ZA PROIZ. I REMONT TRAF. STAN., TRANSFOR. PREK. I DR. ELEK. ENERG. OPREME  ENERGOREMONT DOO BEOGRAD (ČUKARICA)",Активно привредно друштво,детаљније
Друштво са ограниченом одговорношћу,17556410,"PRIVREDNO DRUŠTVO ZA INŽENJERING, MONTAŽNE, GRAĐEVINSKE, IZOLACIONE I ELEKTRO RADOVE TS-N ELEKTRIK DOO BEOGRAD",Активно привредно друштво,детаљније
Друштво са ограниченом одговорношћу,7512449,PREDUZEĆE ZA IZDAVAČKU DELATNOST AVANTI DOO BEOGRAD (ČUKARICA),Активно привредно друштво,детаљније
Друштво са ограниченом одговорношћу,7493312,DRUŠTVO ZA TRGOVINU USLUGE I POSREDOVANJE MATIJAS EXPORT-IMPORT DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU BEOGRAD (ZEMUN),Активно привредно друштво,детаљније
Друштво са ограниченом одговорношћу,17537687,"PREDUZEĆE ZA INŽENJERING, IZGRADNJU I INVESTICIJE DOMUS INVEST D.O.O. BEOGRAD (ZVEZDARA)",Активно привредно друштво,детаљније
Друштво са ограниченом одговорношћу,20001798,"PREDUZEĆE ZA TRGOVINU, PROIZVODNJU I POSREDOVANJE AGRORADE  DOO BEOGRAD-UMČARI",Активно привредно друштво,детаљније
Друштво са ограниченом одговорношћу,20001585,"N.B. TEHNIKA DOO BEOGRAD, Nehruova 222/23 - U LIKVIDACIJI",Привредно друштво обрисано из регистра,детаљније
Друштво са ограниченом одговорношћу,17357794,KLUB H.O.F. PREDUZEĆE ZA IZDAVAČKU DELATNOST D.O.O. BEOGRAD (ZEMUN) - U LIKVIDACIJI,Привредно друштво у процесу ликвидације,детаљније
Друштво са ограниченом одговорношћу,17338269,PREDUZEĆE ZA PROIZVODNJU TRGOVINU I USLUGE VIACOM&FGL DOO BEOGRAD (VRAČAR),Активно привредно друштво,детаљније
Друштво са ограниченом одговорношћу,17053817,"IBG PREDUZEĆE ZA TRGOVINU I USLUGE DOO, BEOGRAD (SAVSKI VENAC)",Активно привредно друштво,детаљније
Друштво са ограниченом одговорношћу,17415166,"PREDUZEĆE ZA PROIZVODNJU, TRGOVINU I USLUGE, ANGRO SISTEM  D.O.O. NOVI  BEOGRAD, JURIJA GAGARINA  229 / II ulaz 254",Привредно друштво обрисано из регистра,детаљније
Друштво са ограниченом одговорношћу,17241176,KRUNIK PREDUZEĆE ZA PROIZVODNJU I TRGOVINU DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU BEOGRAD (VRAČAR),Активно привредно друштво,детаљније
